player,season,school,conference,draft_pick,class_year,age,height_in,weight_lb,ts_pct,ast_tov,pts_per40,ast_per40,reb_per40,stl_per40,blk_per40,three_rate,ft_rate,nba_value,predicted_nba_value,model_grade
Demo Prospect 099,2025,Demo University 19,Conference D,,FR,18.2,82.0,256.0,0.6291547958214625,2.8260869565217392,7.681159420289855,4.710144927536232,6.811594202898551,0.9420289855072465,2.898550724637681,0.16,0.28,7.070472014416282,7.417416948587693,100.0
Demo Prospect 036,2025,Demo University 16,Conference A,36.0,FR,19.1,77.5,195.0,0.6575963718820862,3.083333333333333,5.865992414664981,5.6131479140328695,3.4892541087231352,1.2642225031605565,1.3653603034134008,0.2533333333333333,0.4,6.1040092512582,7.381486385901447,99.4
Demo Prospect 005,2025,Demo University 5,Conference E,5.0,SO,19.7,82.9,240.0,0.6327334083239594,3.0,6.474820143884892,2.805755395683453,9.928057553956837,1.1510791366906474,2.302158273381295,0.3770491803278688,0.3770491803278688,8.173294025144761,7.082908669664345,98.8
Demo Prospect 087,2025,Demo University 7,Conference B,,JR,21.1,77.0,201.0,0.6436877076411961,3.0,6.2207357859531776,5.016722408026756,5.551839464882943,1.137123745819398,0.5351170568561873,0.3015873015873015,0.3333333333333333,7.139858277078702,6.619647679271754,98.1
Demo Prospect 055,2025,Demo University 15,Conference E,55.0,SO,19.8,72.2,179.0,0.616486613433537,3.076923076923077,5.898876404494382,6.741573033707865,4.550561797752809,1.404494382022472,1.853932584269663,0.759493670886076,0.1772151898734177,6.773806805621365,6.554666163768159,97.5
Demo Prospect 034,2025,Demo University 14,Conference D,34.0,FR,19.1,81.3,199.0,0.6331699346405228,1.9310344827586208,5.5480984340044746,2.505592841163311,5.950782997762864,0.5369127516778524,1.3870246085011186,0.2333333333333333,0.2,7.091650506582814,6.531944916687167,96.9
Demo Prospect 066,2025,Demo University 6,Conference A,,FR,19.3,79.8,184.0,0.6149832277301529,2.8,8.036529680365296,1.704718417047184,7.853881278538813,0.547945205479452,3.0441400304414,0.4,0.2947368421052631,5.516418306983447,6.416730366581239,96.3
Demo Prospect 052,2025,Demo University 12,Conference B,52.0,JR,21.3,74.4,204.0,0.6680055885434859,1.96078431372549,8.921282798833818,5.830903790087463,6.647230320699708,1.5743440233236152,1.8658892128279885,0.13,0.33,6.384029897708167,6.3668134528681115,95.7
Demo Prospect 046,2025,Demo University 6,Conference A,46.0,SR,22.1,81.1,209.0,0.6519967400162999,2.480769230769231,6.161251504211793,6.209386281588448,7.605294825511432,0.8664259927797834,2.647412755716005,0.5061728395061729,0.4814814814814814,6.498449337082072,6.255395952279647,95.0
Demo Prospect 016,2025,Demo University 16,Conference A,16.0,JR,21.0,77.5,204.0,0.6087662337662337,3.1923076923076925,7.164179104477612,4.955223880597015,3.164179104477612,1.791044776119403,2.029850746268657,0.4431818181818182,0.2727272727272727,6.746924365885551,6.219063513119159,94.4
Demo Prospect 023,2025,Demo University 3,Conference C,23.0,JR,21.4,76.5,201.0,0.6698623402163225,1.1962616822429906,5.129411764705883,6.023529411764706,8.894117647058824,0.5647058823529412,1.1294117647058823,0.6164383561643836,0.2602739726027397,5.0217867384801895,6.212103208524038,93.8
Demo Prospect 061,2025,Demo University 1,Conference A,,JR,21.3,75.0,171.0,0.6537861046057767,2.727272727272727,5.153846153846154,6.923076923076923,9.846153846153848,1.0769230769230769,2.230769230769231,0.3571428571428571,0.5,6.39017575268197,6.2015133646344776,93.2
