player,season,school,draft_pick,nba_value,similarity
Demo Prospect 054,2025,Demo University 14,54.0,5.417142097715178,0.6968291895626494
Demo Prospect 155,2025,Demo University 15,,3.390334454528336,0.6291986513002396
Demo Prospect 052,2025,Demo University 12,52.0,6.384029897708167,0.5713667273624372
Demo Prospect 143,2025,Demo University 3,,5.750267172923111,0.5637244340787206
Demo Prospect 136,2025,Demo University 16,,4.433443572352938,0.5539212664795374
Demo Prospect 076,2025,Demo University 16,,4.093979899065262,0.5114238141068962
Demo Prospect 154,2025,Demo University 14,,5.817329222075172,0.5024971391839327
Demo Prospect 147,2025,Demo University 7,,5.512463686212316,0.43760079984055394
Demo Prospect 046,2025,Demo University 6,46.0,6.498449337082072,0.43275326397383534
Demo Prospect 073,2025,Demo University 13,,4.0309559449605,0.4248650019088144

